date,precipitation,mean_temp,wind_speed,weather_status,max_temp,min_temp
2012-01-01,0.0,8.51,4.7,drizzle,12.8,5.0
2012-01-02,10.9,6.31,4.5,rain,10.6,2.8
2012-01-03,0.8,9.22,2.3,rain,11.7,7.2
2012-01-04,20.3,8.57,4.7,rain,12.2,5.6
2012-01-05,1.3,5.54,6.1,rain,8.9,2.8
2012-01-06,2.5,3.19,2.2,rain,4.4,2.2
2012-01-07,0.0,4.78,2.3,rain,7.2,2.8
2012-01-08,0.0,6.04,2.0,sun,10.0,2.8
2012-01-09,4.3,6.98,3.4,rain,9.4,5.0
2012-01-10,1.0,3.08,3.4,rain,6.1,0.6
2012-01-11,0.0,2.14,5.1,sun,6.1,-1.1
2012-01-12,0.0,1.81,1.9,sun,6.1,-1.7
2012-01-13,0.0,0.71,1.3,sun,5.0,-2.8
2012-01-14,4.1,2.31,5.3,snow,4.4,0.6
2012-01-15,5.3,-1.32,3.2,snow,1.1,-3.3
2012-01-16,2.5,-0.78,5.0,snow,1.7,-2.8
2012-01-17,8.1,1.48,5.6,snow,3.3,0.0
2012-01-18,19.8,-1.54,5.0,snow,0.0,-2.8
2012-01-19,15.2,-2.04,1.6,snow,-1.1,-2.8
2012-01-20,13.5,2.64,2.3,snow,7.2,-1.1
2012-01-21,3.0,5.55,8.2,rain,8.3,3.3
2012-01-22,6.1,4.23,4.8,rain,6.7,2.2
2012-01-23,0.0,4.34,3.6,rain,8.3,1.1
2012-01-24,8.6,5.71,5.1,rain,10.0,2.2
2012-01-25,8.1,6.43,5.4,rain,8.9,4.4
2012-01-26,4.8,4.61,4.8,rain,8.9,1.1
2012-01-27,0.0,1.8,1.4,drizzle,6.7,-2.2
2012-01-28,0.0,3.34,2.2,rain,6.7,0.6
2012-01-29,27.7,6.38,4.5,rain,9.4,3.9
2012-01-30,3.6,7.09,5.1,rain,8.3,6.1
2012-01-31,1.8,7.59,3.9,rain,9.4,6.1
2012-02-01,13.5,5.82,2.7,rain,8.9,3.3
2012-02-02,0.0,4.67,2.6,sun,8.3,1.7
2012-02-03,0.0,7.69,5.3,sun,14.4,2.2
2012-02-04,0.0,9.77,4.3,sun,15.6,5.0
2012-02-05,0.0,7.19,2.9,sun,13.9,1.7
2012-02-06,0.0,8.18,5.0,sun,16.1,1.7
2012-02-07,0.3,11.31,5.3,rain,15.6,7.8
2012-02-08,2.8,7.25,2.7,rain,10.0,5.0
2012-02-09,2.5,9.28,2.4,rain,11.1,7.8
2012-02-10,2.5,9.44,3.0,rain,12.8,6.7
2012-02-11,0.8,7.08,3.4,rain,8.9,5.6
2012-02-12,1.0,6.48,1.3,rain,8.3,5.0
2012-02-13,11.4,5.66,1.4,rain,7.2,4.4
2012-02-14,2.5,3.62,3.1,rain,6.7,1.1
2012-02-15,0.0,3.57,1.8,drizzle,7.2,0.6
2012-02-16,1.8,5.06,2.1,rain,7.2,3.3
2012-02-17,17.3,6.92,3.4,rain,10.0,4.4
2012-02-18,6.4,5.16,8.1,rain,6.7,3.9
2012-02-19,0.0,4.23,4.7,sun,6.7,2.2
2012-02-20,3.0,4.44,2.9,rain,7.8,1.7
2012-02-21,0.8,8.79,7.5,rain,10.0,7.8
2012-02-22,8.6,6.04,5.9,rain,10.0,2.8
2012-02-23,0.0,5.28,3.9,sun,8.3,2.8
2012-02-24,11.4,5.44,3.5,rain,6.7,4.4
2012-02-25,0.0,4.78,6.4,rain,7.2,2.8
2012-02-26,1.3,1.64,3.4,snow,5.0,-1.1
2012-02-27,0.0,1.8,3.0,sun,6.7,-2.2
2012-02-28,3.6,2.68,4.2,snow,6.7,-0.6
2012-02-29,0.8,2.86,7.0,snow,5.0,1.1
2012-03-01,0.0,3.35,3.1,sun,6.1,1.1
2012-03-02,2.0,5.16,5.1,rain,6.7,3.9
2012-03-03,0.0,9.18,7.0,sun,12.2,6.7
2012-03-04,0.0,8.46,5.6,rain,10.6,6.7
2012-03-05,6.9,4.12,6.2,rain,7.8,1.1
2012-03-06,0.5,3.02,2.7,snow,6.7,0.0
2012-03-07,0.0,3.07,2.7,sun,8.9,-1.7
2012-03-08,0.0,7.35,2.5,sun,15.6,0.6
2012-03-09,3.6,6.98,2.8,rain,9.4,5.0
2012-03-10,10.4,6.6,3.4,rain,7.2,6.1
2012-03-11,13.7,4.56,5.8,rain,6.7,2.8
2012-03-12,19.3,4.07,6.2,snow,8.3,0.6
2012-03-13,9.4,2.85,5.3,snow,5.6,0.6
2012-03-14,8.6,4.12,4.7,rain,7.8,1.1
2012-03-15,23.9,8.07,5.8,snow,11.1,5.6
2012-03-16,8.4,6.15,5.1,rain,8.9,3.9
2012-03-17,9.4,4.83,3.8,snow,10.0,0.6
2012-03-18,3.6,1.92,2.7,rain,5.0,-0.6
2012-03-19,2.0,2.64,3.0,rain,7.2,-1.1
2012-03-20,3.6,4.72,6.4,rain,7.8,2.2
2012-03-21,1.3,4.61,2.5,rain,8.9,1.1
2012-03-22,4.1,5.44,2.1,rain,10.0,1.7
2012-03-23,0.0,5.82,2.8,sun,12.2,0.6
2012-03-24,0.0,8.56,5.2,sun,15.0,3.3
2012-03-25,0.0,7.2,2.7,rain,13.3,2.2
2012-03-26,0.0,9.12,4.3,drizzle,12.8,6.1
2012-03-27,4.8,10.17,3.8,rain,14.4,6.7
2012-03-28,1.3,8.73,5.9,rain,10.6,7.2
2012-03-29,27.4,7.86,4.4,rain,10.0,6.1
2012-03-30,5.6,6.98,4.7,rain,9.4,5.0
2012-03-31,13.2,6.04,3.4,rain,10.0,2.8
2012-04-01,1.5,6.43,6.8,rain,8.9,4.4
2012-04-02,0.0,9.94,3.1,sun,16.7,4.4
2012-04-03,1.5,7.08,3.1,rain,11.7,3.3
2012-04-04,0.0,6.31,2.1,sun,10.6,2.8
2012-04-05,4.6,5.77,1.8,snow,9.4,2.8
2012-04-06,0.3,6.81,2.6,rain,11.1,3.3
2012-04-07,0.0,8.18,4.3,sun,16.1,1.7
2012-04-08,0.0,13.46,4.1,sun,21.1,7.2
2012-04-09,0.0,12.36,2.1,sun,20.0,6.1
2012-04-10,0.0,12.9,3.2,rain,17.8,8.9
2012-04-11,2.3,8.96,2.6,rain,11.1,7.2
2012-04-12,0.5,9.34,2.6,rain,13.9,5.6
2012-04-13,0.0,8.9,4.0,drizzle,15.0,3.9
2012-04-14,0.0,8.83,3.0,sun,15.6,3.3
2012-04-15,0.0,11.21,2.9,rain,16.1,7.2
2012-04-16,8.1,9.67,5.8,rain,13.3,6.7
2012-04-17,1.8,6.92,2.0,rain,10.0,4.4
2012-04-18,1.8,9.94,3.9,rain,13.3,7.2
2012-04-19,10.9,9.0,2.6,rain,13.9,5.0
2012-04-20,6.6,9.67,2.7,rain,13.3,6.7
2012-04-21,0.0,11.42,2.3,sun,20.0,4.4
2012-04-22,0.0,15.05,2.6,rain,23.3,8.3
2012-04-23,0.0,14.66,3.5,sun,21.7,8.9
2012-04-24,4.3,11.76,2.8,rain,13.9,10.0
2012-04-25,10.7,12.41,2.6,rain,16.7,8.9
2012-04-26,3.8,9.94,5.2,rain,13.9,6.7
2012-04-27,0.8,9.34,4.8,rain,13.3,6.1
2012-04-28,0.0,11.81,2.5,drizzle,16.1,8.3
2012-04-29,4.3,11.92,1.6,rain,15.6,8.9
2012-04-30,4.3,9.72,8.0,rain,12.8,7.2
2012-05-01,0.5,8.62,6.4,rain,11.7,6.1
2012-05-02,0.5,9.07,2.5,rain,13.3,5.6
2012-05-03,18.5,8.96,3.4,rain,11.1,7.2
2012-05-04,1.8,8.85,4.6,rain,12.2,6.1
2012-05-05,0.0,8.74,2.3,sun,13.3,5.0
2012-05-06,0.0,10.76,2.4,sun,17.8,5.0
2012-05-07,0.0,14.11,2.2,sun,23.9,6.1
2012-05-08,0.0,13.4,3.0,sun,18.3,9.4
2012-05-09,0.0,9.67,3.9,rain,13.3,6.7
2012-05-10,0.0,8.62,3.0,sun,14.4,3.9
2012-05-11,0.0,10.66,4.3,sun,18.3,4.4
2012-05-12,0.0,14.66,3.4,sun,24.4,6.7
2012-05-13,0.0,16.69,4.2,sun,25.6,9.4
2012-05-14,0.0,19.06,3.8,sun,26.7,12.8
2012-05-15,0.0,16.15,4.1,drizzle,24.4,9.4
2012-05-16,0.0,13.9,3.5,sun,19.4,9.4
2012-05-17,0.0,11.7,2.9,rain,17.8,6.7
2012-05-18,0.0,11.31,3.1,rain,15.6,7.8
2012-05-19,0.0,12.69,1.5,sun,19.4,7.2
2012-05-20,6.4,12.92,1.3,rain,14.4,11.7
2012-05-21,14.0,13.02,4.0,rain,16.7,10.0
2012-05-22,6.1,10.66,4.8,rain,12.8,8.9
2012-05-23,0.3,11.38,6.3,rain,14.4,8.9
2012-05-24,0.0,12.64,3.3,rain,17.2,8.9
2012-05-25,0.0,14.89,3.1,rain,22.2,8.9
2012-05-26,0.0,14.89,3.6,sun,22.2,8.9
2012-05-27,0.0,14.18,3.7,sun,17.2,11.7
2012-05-28,0.0,13.02,3.4,rain,16.7,10.0
2012-05-29,0.0,11.54,1.8,sun,16.1,7.8
2012-05-30,0.3,14.61,1.5,rain,18.9,11.1
2012-05-31,3.8,14.72,2.7,rain,17.8,12.2
2012-06-01,6.6,16.04,3.7,rain,20.0,12.8
2012-06-02,0.3,14.34,3.7,rain,18.9,10.6
2012-06-03,0.0,12.91,2.9,sun,17.2,9.4
2012-06-04,1.3,10.66,3.1,rain,12.8,8.9
2012-06-05,16.0,10.55,3.3,rain,13.3,8.3
2012-06-06,0.0,10.6,3.4,sun,16.1,6.1
2012-06-07,16.5,12.14,3.5,rain,16.1,8.9
2012-06-08,1.5,11.32,3.0,rain,15.0,8.3
2012-06-09,0.0,12.3,4.7,rain,17.2,8.3
2012-06-10,0.0,14.0,2.9,sun,18.9,10.0
2012-06-11,0.0,15.99,1.8,rain,23.3,10.0
2012-06-12,0.8,15.28,3.9,rain,18.3,12.8
2012-06-13,0.0,13.35,4.3,sun,16.1,11.1
2012-06-14,0.0,13.24,2.7,sun,17.2,10.0
2012-06-15,0.0,15.16,1.7,sun,22.2,9.4
2012-06-16,0.0,17.74,4.1,rain,21.1,15.0
2012-06-17,0.0,14.94,6.4,sun,18.9,11.7
2012-06-18,3.0,13.24,3.8,rain,17.2,10.0
2012-06-19,1.0,14.23,3.0,rain,19.4,10.0
2012-06-20,0.0,16.48,3.0,sun,24.4,10.0
2012-06-21,0.0,17.19,2.1,sun,23.9,11.7
2012-06-22,15.7,12.69,1.9,rain,13.9,11.7
2012-06-23,8.6,12.19,2.5,rain,15.6,9.4
2012-06-24,0.0,13.9,2.0,drizzle,19.4,9.4
2012-06-25,0.5,14.84,3.1,rain,19.4,11.1
2012-06-26,0.0,14.07,3.4,rain,18.3,10.6
2012-06-27,0.0,15.16,1.8,sun,22.8,8.9
2012-06-28,0.0,16.42,2.5,rain,22.2,11.7
2012-06-29,0.3,18.02,1.9,rain,21.7,15.0
2012-06-30,3.0,16.32,2.4,rain,20.0,13.3
2012-07-01,0.0,15.71,2.3,rain,20.0,12.2
2012-07-02,2.0,14.94,2.1,rain,18.9,11.7
2012-07-03,5.8,14.07,6.0,rain,18.3,10.6
2012-07-04,0.0,14.44,3.8,sun,20.6,9.4
2012-07-05,0.0,16.81,3.1,drizzle,24.4,10.6
2012-07-06,0.0,17.36,2.1,sun,25.0,11.1
2012-07-07,0.0,19.06,3.8,sun,26.7,12.8
2012-07-08,0.0,20.66,2.8,rain,28.3,14.4
2012-07-09,1.5,18.29,2.0,rain,25.0,12.8
2012-07-10,0.0,16.86,2.3,drizzle,23.9,11.1
2012-07-11,0.0,19.83,2.9,fog,27.8,13.3
